"Nome,Categoria,Tipo,Autorização,Inicio,Término Real,Confidencialidade,Público em,Ato Normativo,Tecnologia,Bloco,Campo,Bacia,E.A.D,Operadora"
"R0237_BAIXO_VERMELHO_2017,Reprocessamento,Exclusivo,,07/03/2017,09/02/2018,Confidencial,09/02/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,POT-T-613 ,(NÃO INFORMADO),(NÃO INFORMADA),Petrobras,Petrobras"
"R0241_SW_PARATI_ANEQUIM_PSDM,Reprocessamento,Exclusivo,,10/10/2015,22/08/2018,Confidencial,22/08/2023,Res. 1/2015,PSDM 3D,(múltiplos),(múltiplos),Campos,Petrobras,Petrobras"
"R0251_3D_SW_TARTARUGA_PSDM,Reprocessamento,Exclusivo,,12/03/2017,31/10/2018,Confidencial,31/10/2023,Normal,PSDM 3D,(múltiplos),(múltiplos),Campos,Petrobras,Petrobras"
"R0258_3D_BC_10_60_PSDM,Reprocessamento,Exclusivo,,01/12/2016,09/11/2018,Confidencial,09/11/2023,Normal,PSDM 3D,(múltiplos),(NÃO INFORMADO),Campos,Petrobras,Petrobras"
"R0258_ITAPU_SAL_MOD,Reprocessamento,Exclusivo,,03/10/2016,20/07/2018,Confidencial,20/07/2023,Res. 1/2015,PSDM 3D,FLORIM    ,ITAPU,(NÃO INFORMADA),Petrobras,Petrobras"
"R0258_LAPA_PSDM_BIAZIMUTE,Reprocessamento,Exclusivo,,05/12/2016,25/05/2018,Confidencial,25/05/2023,Res. 1/2015,PSDM 3D,(NÃO INFORMADO),LAPA,(NÃO INFORMADA),Petrobras,Petrobras"
"R0258_SEPIA_SAL_MOD,Reprocessamento,Exclusivo,,02/10/2017,14/09/2018,Confidencial,14/09/2023,Normal,PSDM 3D,(NÃO INFORMADO),SÉPIA,(NÃO INFORMADA),Petrobras,Petrobras"
"R0268_3D_PSDM_BAZ,Reprocessamento,Exclusivo,,04/09/2017,15/03/2018,Confidencial,15/03/2023,Res. 1/2015,PSDM 3D,BC-60     ,(múltiplos),(múltiplas),Petrobras,Petrobras"
"R0268_3D_PSDM_BM_CAL_12,Reprocessamento,Exclusivo,,28/01/2017,24/05/2018,Confidencial,24/05/2023,Res. 1/2015,PSDM 3D,(múltiplos),(NÃO INFORMADO),(múltiplas),Petrobras,Petrobras"
"R0268_3D_PSTM_HD_GOLFINHO,Reprocessamento,Exclusivo,,30/06/2018,23/11/2018,Confidencial,23/11/2023,Normal,PSTM 3D,(NÃO INFORMADO),(múltiplos),Espírito Santo,Petrobras,Petrobras"
"R0268_3D_RONCADOR_BIAZI,Reprocessamento,Exclusivo,,02/06/2017,15/10/2018,Confidencial,15/10/2023,Normal,PSDM 3D,(NÃO INFORMADO),RONCADOR,Campos,PGS,Petrobras"
"R0268_3D_SEAL100_SES92_MERGE,Reprocessamento,Exclusivo,,14/09/2017,14/09/2018,Confidencial,14/09/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,BM-SEAL-9 ,(múltiplos),Sergipe,PGS,Petrobras"
"R0268_3DHD_ALBACORARONCADOR,Reprocessamento,Exclusivo,,02/02/2015,25/01/2018,Confidencial,02/02/2023,Res. 1/2015,PSDM 3D,(NÃO INFORMADO),(múltiplos),Campos,Petrobras,Petrobras"
"R0268_BAUNA_PSDM_2018,Reprocessamento,Exclusivo,,19/03/2018,14/11/2018,Confidencial,14/11/2023,Normal,PSDM 3D,(NÃO INFORMADO),BAÚNA,Santos,Petrobras,Petrobras"
"R0268_BCAM-40-BM-CAL-4_MANATI,Reprocessamento,Exclusivo,,15/09/2017,10/05/2018,Confidencial,10/05/2023,Res. 1/2015,PSDM 3D,(NÃO INFORMADO),(múltiplos),Camamu,Petrobras,Petrobras"
"R0284_3D_CATU_REC_T_165_MERGE,Reprocessamento,Exclusivo,,26/12/2017,26/03/2018,Confidencial,26/03/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,(múltiplos),(múltiplos),(NÃO INFORMADA),Petrobras,Petrobras"
"R0284_REC_T_165,Reprocessamento,Exclusivo,,13/11/2017,10/01/2018,Público,10/01/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,REC-T-152 ,TAQUIPE,(NÃO INFORMADA),Petrobras,Petrobras"
"R0284_REC_T_178,Reprocessamento,Exclusivo,,13/11/2017,10/01/2018,Público,10/01/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,(múltiplos),CASSARONGONGO,(NÃO INFORMADA),Petrobras,Petrobras"
"R0284_REC_T_192,Reprocessamento,Exclusivo,,13/11/2017,10/01/2018,Público,10/01/2023,Res. 1/2015,PSTM 3D,(NÃO INFORMADO),TAQUIPE,(NÃO INFORMADA),Petrobras,Petrobras"
"R0302_BUZIOS_RASO_MOD2,Reprocessamento,Exclusivo,,19/02/2018,01/08/2018,Confidencial,01/08/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,(NÃO INFORMADO),BÚZIOS,Santos,Petrobras,Petrobras"
"R0302_IRACEMA_PSDM_BIAZIMUTE,Reprocessamento,Exclusivo,,01/09/2017,01/08/2018,Confidencial,01/08/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,BM-S-11   ,(NÃO INFORMADO),(NÃO INFORMADA),Petrobras,Petrobras"
"R0307_TARTARUGA_VERDE_MESTICA,Reprocessamento,Exclusivo,,30/06/2017,21/05/2018,Confidencial,21/05/2023,Res. 1/2015,PSDM 3D,(NÃO INFORMADO),TARTARUGA VERDE,Campos,Petrobras,Petrobras"
"R0321_3D_PSTM_GOLFINHO_CANAPU,Reprocessamento,Exclusivo,,22/07/2015,15/05/2018,Confidencial,15/05/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,ES-M-525  ,(múltiplos),Espírito Santo,Petrobras,Petrobras"
"R0363_BMC33_GRT,Reprocessamento,Exclusivo,,10/07/2017,29/01/2018,Confidencial,29/01/2023,Res. 1/2015,Reproc. de Dados Sísmicos 3D,C-M-539   ,(NÃO INFORMADO),Campos,Equinor Brasil,Equinor Brasil"
"R0374_2D_SOLIMOES_COPAIBA,Reprocessamento,Exclusivo,,25/05/2018,26/06/2018,Confidencial,26/06/2023,Res. 1/2015,Reproc. de Dados Sísmicos 2D,SOL-T-170 ,(NÃO INFORMADO),Solimões,CImaGeo,Rosneft"
"R0389_SANTOS_CLUSTER_ST18,Reprocessamento,Exclusivo,,01/01/2017,30/09/2018,Confidencial,30/09/2023,Normal,Reproc. de Dados Sísmicos 3D,BM-S-8    ,(NÃO INFORMADO),(NÃO INFORMADA),Equinor Brasil,Equinor Brasil"
"R0392_BC10_LOFS_2018_4D,Reprocessamento,Exclusivo,,01/06/2018,20/06/2018,Confidencial,20/06/2023,Normal,Sísmica 4D/4C,BC-10     ,ARGONAUTA,Campos,Shell Brasil,Shell Brasil"
