"Nome,Bacia,Natureza da atividade,Início Aquisição,Término Aquisição,Ambiente,Confidencialidade,Shape"
"GQ3_0355_PCORE_MARGEM_LESTE,Santos/Campos,Não-Exclusivo,20/06/2018,01/05/2019,Marítimo,Confidencial,SIM"
"0019_PCORE_PAMA,Pará Maranhão,Não-Exclusivo,26/02/2012, ,Marítimo,Confidencial,NÃO"
"0005_GEOQS_ANP_ACRE,Acre,de Fomento,01/08/2008,01/02/2009,Terrestre,Público,SIM"
"0005_GEOQS_ANP_RIO_PEIXE,Rio do Peixe,de Fomento,01/01/2005,01/12/2005,Terrestre,Público,SIM"
"0001_PCORE_CAMALM_2002,Camamu,Não-Exclusivo,01/12/2002,31/12/2002,Marítimo,Público,SIM"
"0005_GEOQS_ANP_PARECIS,Parecis - Alto Xingu,de Fomento,01/01/2008,01/11/2008,Terrestre,Público,NÃO"
"GQ3_0355_PCORE_MARGEMLESTE_FASE2,Santos/Campos,Não-Exclusivo,26/06/2019, ,Marítimo,Confidencial,NÃO"
"0007_PCORE_ANP_PEPB,Pernambuco Paraíba,de Fomento,01/01/2005,31/12/2005,Marítimo,Público,SIM"
"0001_PCORE_SANTOS_2000,Santos,Não-Exclusivo,01/12/2000,31/12/2000,Marítimo,Público,NÃO"
"0001_PCORE_FOZAM_2001,Foz Amazonas,Não-Exclusivo,07/09/2000,14/10/2000,Marítimo,Público,NÃO"
"0019_PCORE_CEPOT,Ceará,Não-Exclusivo,26/02/2012,01/04/2013,Marítimo,Confidencial,SIM"
"0006_PCORE_ANP_CEARA,Ceará,de Fomento,29/12/2010,31/07/2012,Marítimo,Público,SIM"
"0355_PCORE_FOZAM,Foz Amazonas,Não-Exclusivo,06/11/2012,01/04/2013,Marítimo,Confidencial,SIM"
"0005_GEOQS_ANP_ SLUIS,São Luís,de Fomento,01/07/2007,01/12/2008,Terrestre,Público,SIM"
"0006_GEOQS_ANP_ ARARIPE,Araripe,de Fomento,01/01/2010,01/03/2011,Terrestre,Público,SIM"
"0006_GEOQS_ANP_ TACUTU,Tacutu,de Fomento,16/11/2011,01/05/2013,Terrestre,Público,SIM"
"0010_PCORE_ANP_FOZAM_PAMA,Foz Amazonas / Pará Maranhão,de Fomento,25/02/2013,31/05/2015,Marítimo,Público,NÃO"
"0001_PCORE_SANTOS_1999,Santos,Não-Exclusivo,01/12/1999,31/12/1999,Marítimo,Público,NÃO"
"0001_PCORE_SEAL_2000,Sergipe Alagoas,Não-Exclusivo,01/12/2000,31/12/2000,Marítimo,Público,NÃO"
"0008_ANP_CEARA_2013,Ceará,de Fomento,19/12/2012,16/07/2013,Marítimo,Público,SIM"
",,,,,,,"
