POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INICIO,TERMINO,CONCLUSAO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
7-FAL-172-ES,34270029590,Petrobras,7FAL172ES,ES,Espírito Santo,nan,FAL  ,FAZENDA ALEGRE,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2020-05-07,2020-05-13,2021-02-16 00:00:00,"-19:00:26,633","-39:51:48,401","-19,0073980555","-39,8634447222",SIRGAS2000,Definitiva,Vertical,-884.87,896.0,896.2,MR,10.88,5.73,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-BE-35DA-RN,72100029729,Potiguar E&P S.A.,BEDW11DA,RN,Potiguar,nan,BE   ,BOA ESPERANÇA,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2021-09-13,2021-09-16,2021-11-02 00:00:00,"-05:29:01,270","-37:37:47,190","-5,4836861111","-37,629775",SIRGAS2000,Definitiva,Direcional,976.37,1108.0,1107.7,MR,92.18,87.0,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
7-RO-177D-RJS,74281029701,Petrobras,7-RO-177D-RJS,RJ,Campos,nan,RO   ,RONCADOR,M,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,2021-06-11,2021-06-13,2021-06-16 00:00:00,"-21:56:32,171","-39:42:22,377","-21,9422697222","-39,7062158333",SIRGAS2000,Definitiva,Direcional,2879.5,2882.0,2882.0,MR,32.0,0.0,1869.0,NM,,Campos,Carapebus,,,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-29,CAROLINA,N,01/01/2023
7-TUP-121DA-RJS,74316029700,Petrobras,7-TUP-121DA-RJS,RJ,Santos,nan,TUP  ,TUPI,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2021-06-07,2021-08-13,2021-09-10 00:00:00,"-25:09:32,654","-42:55:32,559","-25,1590705555","-42,9257108333",SIRGAS2000,Definitiva,Direcional,5077.8,5117.0,5117.0,MR,25.0,0.0,2248.0,NM,,Guaratiba,Barra Velha,,Existe,,,,,Existe,,Existe,,,,,Existe,Existe,,,,,NS-43,AMARALINA STAR,S,01/01/2023
1-PHO-1-RN,72100029704,Phoenix Óleo & Gás,PHOENIX 01,RN,Potiguar,POT-T-565,nan,nan,T,S,1,Pioneiro,nan,FECHADO,2021-08-19,2021-07-19,2021-08-30 00:00:00,"-05:20:00,009","-37:10:04,784","-5,3333358333","-37,1679955555",SIRGAS2000,Definitiva,Vertical,1094.4,1180.0,1181.2,MR,85.55,81.35,0.0,NM,,Areia Branca,Pendência,Sequência 3,Existe,,Existe,Existe,Existe,,,Existe,,,,,,Existe,,,,,"PRN-01, SHRP-05","PROEN-01, Sonda Roto-Pneumática de Perfuração SHRP-05",I,01/01/2023
7-RO-177DA-RJS,74281029705,Petrobras,7-RO-177DA-RJS,RJ,Campos,nan,RO   ,RONCADOR,M,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,2021-06-16,2021-08-28,2021-09-06 00:00:00,"-21:56:32,171","-39:42:22,377","-21,9422697222","-39,7062158333",SIRGAS2000,Definitiva,Direcional,3189.3,3253.0,3253.0,MR,32.0,0.0,1868.0,NM,,Campos,Carapebus,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-29,CAROLINA,N,01/01/2023
8-BUZ-53D-RJS,74316029707,Petrobras,8-BUZ-53D-RJS,RJ,Santos,nan,BUZ  ,BÚZIOS,M,S,8,Injeção,INJEÇÃO DE ÁGUA,INJETANDO,2021-07-04,2021-09-03,2021-10-11 00:00:00,"-24:46:05,705","-42:27:43,911","-24,7682513888","-42,4621975",SIRGAS2000,Definitiva,Direcional,-6197.2,6406.0,6406.0,MR,32.0,0.0,2035.0,NM,,Guaratiba,Itapema,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,"NS-31, NS-33","NORBE IX, PETROBRAS 10000",S,01/01/2023
7-SAB-3-RN,72100029712,Potiguar E&P S.A.,7SAB0003RN,RN,Potiguar,SAB,SAB  ,SABIÁ,T,S,7,Desenvolvimento,INDEFINIDO,PRODUZINDO,2021-07-27,2021-07-30,2021-08-01 00:00:00,"-05:29:12,580","-37:08:04,620","-5,4868277777","-37,1346166666",SIRGAS2000,Definitiva,Vertical,483.8,615.0,615.0,MR,131.18,126.0,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
8-BUZ-55-RJS,74316029713,Petrobras,8-BUZ-55-RJS,RJ,Santos,nan,BUZ  ,BÚZIOS,M,S,8,Injeção,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2021-07-28,2021-10-04,2021-11-06 00:00:00,"-24:35:36,703","-42:31:03,710","-24,5935286111","-42,5176972222",SIRGAS2000,Definitiva,Vertical,-6079.6,6113.0,6113.0,MR,32.0,0.0,1914.0,NM,,Guaratiba,Itapema,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,"NS-41, NS-42","ODN I, ODN II",S,01/01/2023
7-SAB-4-RN,72100029715,Potiguar E&P S.A.,7SAB0004RN,RN,Potiguar,SAB,SAB  ,SABIÁ,T,S,7,Desenvolvimento,INDEFINIDO,PRODUZINDO,2021-08-06,2021-08-08,2021-08-09 00:00:00,"-05:29:12,580","-37:08:04,620","-5,4868277777","-37,1346166666",SIRGAS2000,Definitiva,Vertical,455.08,585.0,586.4,MR,129.92,124.74,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
7-AZU-5D-AM,14030029730,Eneva,7-AZU-5D-MA,AM,Amazonas,nan,AZU  ,AZULÃO,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE GÁS NATURAL,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2021-09-16,2021-10-07,2021-10-11 00:00:00,"-02:43:04,200","-58:10:00,800","-2,7178333333","-58,1668888888",SIRGAS2000,Definitiva,Direcional,1699.0,1800.0,1804.0,MR,68.0,60.0,0.0,NM,,Tapajós,Nova Olinda,,Existe,,,,,,,,,,,,,,,,,,QG VIII,Queiroz Galvão VIII,I,01/01/2023
7-MRO-17-RJS,74316029719,Petrobras,7-MRO-17-RJS,RJ,Santos,nan,MRO  ,MERO,M,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,2021-08-21,2021-08-26,2021-09-08 00:00:00,"-24:36:33,394","-42:14:04,462","-24,6092761111","-42,2345727777",SIRGAS2000,Definitiva,Vertical,-2849.9,2875.0,2875.0,MR,25.0,0.0,1950.0,NM,,Guaratiba,Itapema,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-39,Deepwater Myconos,N,01/01/2023
7-RE-38-RN,72100028441,3R Areia,7RE38RN,RN,Potiguar,nan,RE   ,REDONDA,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2015-09-12,2021-05-07,2021-05-28 00:00:00,"-04:57:25,949","-37:00:04,973","-4,9572080555","-37,0013813888",SIRGAS2000,Definitiva,Vertical,-738.0,805.0,805.0,MR,67.0,63.61,0.0,NM,,Apodi,Açu,,Existe,,,,Existe,,,,,,,,,,Existe,,,,CES-107,CES-107,I,01/01/2023
7-OATP-1-RJS,74316029678,Petrobras,7OATP1RJS,RJ,Santos,nan,OATP ,OESTE DE ATAPU,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2021-03-17,2021-09-30,2021-10-28 00:00:00,"-24:56:04,508","-42:30:43,676","-24,9345855555","-42,5121322222",SIRGAS2000,Definitiva,Vertical,-5542.9,5570.0,5570.0,MR,26.0,0.0,2234.0,NM,,Guaratiba,Barra Velha,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-40,Deepwater Corcovado,S,01/01/2023
8-MLS-232D-RJS,74281029485,Petrobras,8MLS232DRJS,RJ,Campos,nan,MLS  ,MARLIM SUL,M,S,8,Injeção,INJEÇÃO DE ÁGUA,INJETANDO,2019-10-19,2021-06-14,2021-07-04 00:00:00,"-22:34:03,430","-40:04:46,491","-22,5676194444","-40,0795808333",SIRGAS2000,Definitiva,Direcional,-4280.0,4673.0,4673.0,MR,32.0,0.0,1081.0,NM,,Macaé,Quissamã,,,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-41,ODN I,N,01/01/2023
8-MLS-239H-RJS,74281029541,Petrobras,8MLS239HRJS,RJ,Campos,nan,MLS  ,MARLIM SUL,M,S,8,Injeção,INJEÇÃO DE ÁGUA,INJETANDO,2020-02-03,2021-05-20,2021-06-14 00:00:00,"-22:36:36,867","-39:59:20,979","-22,6102408333","-39,9891608333",SIRGAS2000,Definitiva,Horizontal,-2894.2,4187.0,4187.0,MR,32.0,0.0,1599.0,NM,,Campos,Carapebus,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-32,NORBE VIII,N,01/01/2023
7-PRG-70H-RJS,74281029548,Equinor Brasil,BMC7A26,RJ,Campos,nan,PRG  ,PEREGRINO,M,S,7,Desenvolvimento,INDEFINIDO,PRODUZINDO,2020-02-12,2021-10-02,2021-10-25 00:00:00,"-23:20:03,965","-41:17:54,784","-23,3344347222","-41,2985511111",SIRGAS2000,Definitiva,Horizontal,2324.84,8326.0,8326.0,MR,156.0,0.0,106.0,NM,,Campos,Carapebus,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,DR-A,DRILLINGRIG-A,N,01/01/2023
8-FAL-165D-ES,34270029568,Petrobras,8FAL165DES,ES,Espírito Santo,nan,FAL  ,FAZENDA ALEGRE,T,S,8,Injeção,INJEÇÃO DE VAPOR,INJETANDO,2020-03-11,2020-03-15,2021-03-29 00:00:00,"-19:00:15,736","-39:51:43,442","-19,0043711111","-39,8620672222",SIRGAS2000,Definitiva,Direcional,-878.0,915.7,917.6,MR,11.32,6.17,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-SEP-8D-RJS,74316029573,Petrobras,7SEP8DRJS,RJ,Santos,nan,SEP  ,SÉPIA,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2020-03-19,2021-01-07,2021-02-07 00:00:00,"-25:13:35,702","-42:31:56,478","-25,2265838888","-42,532355",SIRGAS2000,Definitiva,Direcional,-5441.7,5470.0,5470.0,MR,25.0,0.0,2139.0,NM,,Guaratiba,Barra Velha,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,NS-31,PETROBRAS 10000,S,01/01/2023
7-FAL-170-ES,34270029584,Petrobras,7FAL170ES,ES,Espírito Santo,nan,FAL  ,FAZENDA ALEGRE,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2020-04-12,2020-04-17,2021-01-22 00:00:00,"-19:00:22,059","-39:51:46,083","-19,0061275","-39,8628008333",SIRGAS2000,Definitiva,Vertical,-884.47,894.0,895.3,MR,10.65,5.5,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-FAL-169-ES,34270029586,Petrobras,7FAL169ES,ES,Espírito Santo,nan,FAL  ,FAZENDA ALEGRE,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2020-04-20,2020-04-24,2021-01-04 00:00:00,"-19:00:20,523","-39:51:47,645","-19,0057008333","-39,8632347222",SIRGAS2000,Definitiva,Vertical,-883.48,894.0,894.3,MR,10.67,5.52,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
8-FAL-171-ES,34270029596,Petrobras,8FAL171ES,ES,Espírito Santo,nan,FAL  ,FAZENDA ALEGRE,T,S,8,Injeção,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2020-05-16,2020-05-21,2021-02-28 00:00:00,"-19:00:24,361","-39:51:47,260","-19,0067669444","-39,8631277777",SIRGAS2000,Definitiva,Vertical,-883.7,894.0,895.0,MR,10.94,5.79,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
8-BUZ-44-RJS,74316029641,Petrobras,8BUZ44RJS,RJ,Santos,nan,BUZ  ,BÚZIOS,M,S,8,Injeção,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2020-10-23,2020-12-30,2021-01-23 00:00:00,"-24:38:22,101","-42:32:38,988","-24,6394725","-42,5441633333",SIRGAS2000,Definitiva,Vertical,-5949.8,5977.2,5976.0,MR,25.0,0.0,1957.0,NM,,Guaratiba,Barra Velha,,Existe,,,,Existe,Existe,,Existe,,Existe,,,Existe,Existe,,,,,NS-33,NORBE IX,S,01/01/2023
7-CNC-43-ES,34270029616,Petrobras,7CNC43ES,ES,Espírito Santo,nan,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2020-06-23,2020-07-03,2021-02-11 00:00:00,"-19:13:57,466","-39:50:53,083","-19,2326294444","-39,8480786111",SIRGAS2000,Definitiva,Vertical,-952.7,960.0,961.5,MR,8.77,3.62,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
8-JUB-60D-ESS,34281029624,Petrobras,8JUB60DESS,ES,Campos,nan,JUB  ,JUBARTE,M,S,8,Injeção,INJEÇÃO DE ÁGUA,FECHADO,2020-04-14,2021-01-13,2021-02-13 00:00:00,"-21:17:44,492","-40:01:04,874","-21,2956922222","-40,0180205555",SIRGAS2000,Definitiva,Direcional,4817.8,4863.0,4863.0,MR,32.0,0.0,1324.0,NM,,Lagoa Feia,Coqueiros,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,NS-29,CAROLINA,S,01/01/2023
7-CNC-44-ES,34270029625,Petrobras,7CNC44ES,ES,Espírito Santo,nan,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2020-08-16,2020-08-21,2021-08-03 00:00:00,"-19:13:49,510","-39:50:49,688","-19,2304194444","-39,8471355555",SIRGAS2000,Definitiva,Vertical,-820.2,827.7,828.7,MR,8.48,3.33,0.0,NM,,Espírito Santo,Urucutuca,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-SAB-6-RN,72100029718,Potiguar E&P S.A.,7SAB0006RN,RN,Potiguar,SAB,SAB  ,SABIÁ,T,S,7,Desenvolvimento,OUTRAS FINALIDADES,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2021-08-20,2021-08-23,2021-09-10 00:00:00,"-05:28:49,830","-37:08:04,060","-5,4805083333","-37,1344611111",SIRGAS2000,Definitiva,Vertical,483.2,612.0,612.0,MR,128.8,123.6,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
7-SAB-7-RN,72100029716,Potiguar E&P S.A.,7SAB0007RN,RN,Potiguar,SAB,SAB  ,SABIÁ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,2021-08-13,2021-08-08,2021-09-03 00:00:00,"-05:28:58,290","-37:07:42,200","-5,4828583333","-37,1283888888",SIRGAS2000,Definitiva,Vertical,402.8,534.0,532.9,MR,131.2,126.0,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
