nome,bacia,natureza_da_atividade,início_aquisição,término_aquisição,ambiente,confidencialidade,shape,bacia
0019_PCORE_PAMA,Pará Maranhão,Não-Exclusivo,2012-02-26,,Marítimo,Confidencial,NÃO,
0005_GEOQS_ANP_ACRE,Acre,de Fomento,2008-08-01,2009-02-01,Terrestre,Público,SIM,
0005_GEOQS_ANP_RIO_PEIXE,Rio do Peixe,de Fomento,2005-01-01,2005-12-01,Terrestre,Público,SIM,
0001_PCORE_CAMALM_2002,Camamu,Não-Exclusivo,2002-12-01,2002-12-31,Marítimo,Público,SIM,
0005_GEOQS_ANP_PARECIS,Parecis - Alto Xingu,de Fomento,2008-01-01,2008-11-01,Terrestre,Público,NÃO,
GQ3_0355_PCORE_MARGEMLESTE_FASE2,Santos/Campos,Não-Exclusivo,2019-06-26,,Marítimo,Confidencial,NÃO,
0007_PCORE_ANP_PEPB,Pernambuco Paraíba,de Fomento,2005-01-01,2005-12-31,Marítimo,Público,SIM,
0001_PCORE_SANTOS_2000,Santos,Não-Exclusivo,2000-12-01,2000-12-31,Marítimo,Público,NÃO,
0001_PCORE_FOZAM_2001,Foz Amazonas,Não-Exclusivo,2000-09-07,2000-10-14,Marítimo,Público,NÃO,
0019_PCORE_CEPOT,Ceará,Não-Exclusivo,2012-02-26,2013-04-01,Marítimo,Confidencial,SIM,
0006_PCORE_ANP_CEARA,Ceará,de Fomento,2010-12-29,2012-07-31,Marítimo,Público,SIM,
0355_PCORE_FOZAM,Foz Amazonas,Não-Exclusivo,2012-11-06,2013-04-01,Marítimo,Confidencial,SIM,
0005_GEOQS_ANP_ SLUIS,São Luís,de Fomento,2007-07-01,2008-12-01,Terrestre,Público,SIM,
0006_GEOQS_ANP_ ARARIPE,Araripe,de Fomento,2010-01-01,2011-03-01,Terrestre,Público,SIM,
0006_GEOQS_ANP_ TACUTU,Tacutu,de Fomento,2011-11-16,2013-05-01,Terrestre,Público,SIM,
0010_PCORE_ANP_FOZAM_PAMA,Foz Amazonas / Pará Maranhão,de Fomento,2013-02-25,2015-05-31,Marítimo,Público,NÃO,
0001_PCORE_SANTOS_1999,Santos,Não-Exclusivo,1999-12-01,1999-12-31,Marítimo,Público,NÃO,
0001_PCORE_SEAL_2000,Sergipe Alagoas,Não-Exclusivo,2000-12-01,2000-12-31,Marítimo,Público,NÃO,
0008_ANP_CEARA_2013,Ceará,de Fomento,2012-12-19,2013-07-16,Marítimo,Público,SIM,
nan,,nan,,,nan,nan,,
