poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,inicio,termino,conclusao,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
7-RO-174H-RJS,74281029671,Petrobras,7RO174HRJS,RJ,Campos,,RO   ,RONCADOR,M,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,23/02/2021,05/05/2021,24/05/2021,"-21:58:15,536","-39:45:58,369","-21,9709822222","-39,7662136111",SIRGAS2000,Definitiva,Horizontal,-2960,3590,3590,MR,32,0,1728.0,NM,,Campos,Carapebus,,Existe,,,,,Existe,,Existe,,,,,Existe,,,,,,NS-29,CAROLINA,N,01/01/2023
8-MRO-14D-RJS,74316029672,Petrobras,8MRO14DRJS,RJ,Santos,,MRO  ,MERO,M,S,8,Injeção,INJEÇÃO DE ÁGUA,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,24/02/2021,29/06/2021,01/08/2021,"-24:34:14,845","-42:14:58,522","-24,5707902777","-42,2495894444",SIRGAS2000,Definitiva,Direcional,"-5976,2",6111,6118,MR,25,0,1900.0,NM,,Guaratiba,Itapema,,Existe,,,,Existe,Existe,,Existe,,Existe,,,Existe,Existe,,,,,NS-40,Deepwater Corcovado,S,01/01/2023
7-SDR-4-ES,34270029674,BGM,7-SDR-4-ES,ES,Espírito Santo,,SDR  ,SUINDARA,T,S,7,Desenvolvimento,INDEFINIDO,PRODUZINDO,02/03/2021,28/03/2021,28/03/2021,"-19:11:42,870","-39:50:13,770","-19,1952416666","-39,8371583333",SIRGAS2000,Definitiva,Vertical,-880,891,891,MR,"10,6","4,6",0.0,NM,,Barra Nova,Regência,,Existe,,,Existe,Existe,,,,,,,Existe,,,,,,,CW-02,Cowan-02,I,01/01/2023
9-POL-46D-RJS,74281029677,Petro Rio O&G,POL-K,RJ,Campos,,POL  ,POLVO,M,S,9,Especial,INDEFINIDO,FECHADO,17/03/2021,18/04/2021,03/05/2021,"-23:05:01,886","-40:59:43,171","-23,0838572222","-40,9953252777",SIRGAS2000,Definitiva,Direcional,"-1539,17","5957,67","5957,67",MR,"41,2",0,103.0,NM,,Campos,Emboré,São Tomé,Existe,,Existe,Existe,,Existe,,Existe,,,,,Existe,,,,,,DEAL-1,DEAL-1,N,01/01/2023
9-BUZ-52-RJS,74316029684,Petrobras,9BUZ52RJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,9,Especial,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,06/05/2021,15/06/2021,15/07/2021,"-24:33:25,662","-42:27:00,911","-24,5571283333","-42,4502530555",SIRGAS2000,Definitiva,Vertical,6181,"6182,5",6182,MR,32,0,1859.0,NM,,Guaratiba,Piçarras,,,,,,Existe,Existe,,Existe,,Existe,,,Existe,Existe,,,,,NS-32,NORBE VIII,S,01/01/2023
1-BRSA-1379D-ESS,34271029679,Petrobras,1ESS227D,ES,Espírito Santo,ES-M-669,,,M,S,1,Pioneiro,,ABANDONADO PERMANENTEMENTE,06/04/2021,19/07/2021,16/08/2021,"-20:39:28,296","-38:54:01,741","-20,65786","-38,9004836111",SIRGAS2000,Definitiva,Direcional,"-7559,5",7699,7699,MR,25,,2369.0,NM,,Nativo,Mariricu,Mucuri,Existe,,Existe,Existe,Existe,Existe,,Existe,,Existe,Existe,Existe,Existe,Existe,,,,,NS-45,Brava Star,S,01/01/2023
7-TIE-3DB-BA,20240029676,Maha Energy,7TIE3DBBA,BA,Recôncavo,,TIE  ,TIÊ,T,S,7,Desenvolvimento,INDEFINIDO,INJETANDO,07/12/2020,17/03/2021,28/03/2021,"-12:21:43,709","-38:16:44,677","-12,3621413888","-38,2790769444",SIRGAS2000,Definitiva,Direcional,"2130,42",2336,2336,MR,"87,39","79,54",0.0,NM,,Brotas,Sergi,,Existe,,,,,,,,,,,,,,,,,,FV-2,FAXE-2,I,01/01/2023
7-CNC-48-ES,34270029649,Petrobras,7CNC48ES,ES,Espírito Santo,,CNC  ,CANCÃ,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,20/11/2020,25/11/2020,25/07/2021,"-19:13:44,075","-39:50:43,511","-19,2289097222","-39,8454197222",SIRGAS2000,Definitiva,Vertical,"-892,7",903,"901,4",MR,"8,4","3,25",0.0,NM,,Barra Nova,São Mateus,,Existe,,,,Existe,,,Existe,,,,,Existe,Existe,,Existe,,,EBS-08,EBS-08,I,01/01/2023
7-BE-37D-RN,72100029733,Potiguar E&P S.A.,BEDW08D,RN,Potiguar,,BE   ,BOA ESPERANÇA,T,S,7,Desenvolvimento,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,25/09/2021,06/10/2021,10/10/2021,"-05:29:01,430","-37:37:45,600","-5,4837305555","-37,6293333333",SIRGAS2000,Definitiva,Direcional,"1737,04",2164,2164,MR,"5,2","86,8",0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
7-BE-35D-RN,72100029658,Potiguar E&P S.A.,BEDW11D,RN,Potiguar,,BE   ,BOA ESPERANÇA,T,S,7,Desenvolvimento,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,20/12/2020,13/01/2021,13/01/2021,"-05:29:01,270","-37:37:47,190","-5,4836861111","-37,629775",SIRGAS2000,Definitiva,Direcional,0,884,0,MR,"92,18",87,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
7-BE-34D-RN,72100029653,Potiguar E&P S.A.,BEDW12D,RN,Potiguar,,BE   ,BOA ESPERANÇA,T,S,7,Desenvolvimento,INDEFINIDO,PRODUZINDO,07/12/2020,17/07/2021,16/08/2021,"-05:29:01,710","-37:37:46,260","-5,4838083333","-37,6295166666",SIRGAS2000,Definitiva,Direcional,"998,8",1091,1091,MR,"92,2",82,0.0,NM,,Areia Branca,Pendência,,Existe,,,,,,,,,,,,,,,,,,PR-04,National Oilwell Varco - 750,I,01/01/2023
9-BUZ-49-RJS,74316029664,Petrobras,9BUZ49RJS,RJ,Santos,,BUZ  ,BÚZIOS,M,S,9,Especial,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,24/01/2021,22/03/2021,26/04/2021,"-24:32:15,742","-42:34:03,859","-24,5377061111","-42,5677386111",SIRGAS2000,Definitiva,Vertical,-6201,6226,6226,MR,25,0,1727.0,NM,,Guaratiba,Barra Velha,,Existe,,,,Existe,Existe,,Existe,,Existe,Existe,,Existe,Existe,,,,,SS-73,GOLD STAR,S,01/01/2023
9-RO-172D-RJS,74281029659,Petrobras,9RO172DRJS,RJ,Campos,,RO   ,RONCADOR,M,S,9,Especial,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,19/12/2020,01/02/2021,17/03/2021,"-21:57:34,380","-39:44:22,236","-21,95955","-39,73951",SIRGAS2000,Definitiva,Direcional,"4242,6",4567,4567,MR,23,0,1808.0,NM,,,Macaé,Quissamã,Existe,,,,Existe,Existe,,Existe,,Existe,Existe,,Existe,Existe,,,,,SS-79,LONE STAR,S,01/01/2023
