bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
CAMPOS MAR,342810274600.0,1-BRSA-171-ESS,ÓLEO,"2.644,00","2.670,00",2.0,Garrafa Vidro Âmbar,1,2002-12-11,CATU/BA,PETROBRAS
CAMPOS MAR,342810280100.0,1-BRSA-192-ESS,ÓLEO,"2.623,50","2.632,50",4.0,Garrafa Vidro Âmbar,1,2003-04-05,CATU/BA,PETROBRAS
CAMPOS MAR,342810281200.0,1-BRSA-196-ESS,ÓLEO,"2.691,00","2.707,00",2.0,Garrafa Vidro Âmbar,1,2003-04-23,CATU/BA,PETROBRAS
CAMPOS MAR,342810322900.0,1-BRSA-458-ESS,ÓLEO,"5.485,00","5.575,00",2.0,Garrafa Vidro Âmbar,1,2007-02-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810367700.0,1-OGX-2A-RJS,ÁGUA,"0,00","0,00",4.0,Garrafa Vidro Âmbar,1,2009-12-22,CATU/BA,PETROBRAS
CAMPOS MAR,742810367700.0,1-OGX-2A-RJS,ÓLEO,"3.213,00","3.213,00",2.0,Garrafa Vidro Âmbar,1,2009-12-22,CATU/BA,PETROBRAS
CAMPOS MAR,742810367700.0,1-OGX-2A-RJS,ÓLEO,"3.428,40","3.428,40",2.0,Garrafa Vidro Âmbar,1,2009-12-22,CATU/BA,PETROBRAS
CAMPOS MAR,742810367700.0,1-OGX-2A-RJS,ÓLEO,"3.459,00","3.459,00",2.0,Garrafa Vidro Âmbar,1,2009-12-22,CATU/BA,PETROBRAS
CAMPOS MAR,742810370100.0,1-OGX-3-RJS,ÓLEO,"0,00","0,00",2.0,Garrafa Vidro Âmbar,1,2010-02-25,CATU/BA,PETROBRAS
CAMPOS MAR,742810370100.0,1-OGX-3-RJS,NAO IDENTIFICADO,"3.341,80","3.341,80",2.0,Garrafa Vidro Âmbar,1,2010-02-25,CATU/BA,PETROBRAS
CAMPOS MAR,742810370400.0,1-OGX-6-RJS,ÓLEO,"3.195,70","3.195,70",2.0,Garrafa Vidro Âmbar,1,2010-04-01,CATU/BA,PETROBRAS
CAMPOS MAR,742810401100.0,1-OGX-7A-RJS,ÁGUA,"0,00","0,00",4.0,Garrafa Vidro Âmbar,1,2010-05-01,CATU/BA,PETROBRAS
