bacia,count
Alagoas,262
Almada,4
Amazonas,30
Araripe,1
Barreirinhas,19
Camamu,21
Campos,1844
Ceará,18
Espírito Santo,1106
Foz do Amazonas,2
Jequitinhonha,5
Mucuri,14
Paraná,4
Parecis - Alto Xingu,5
Parnaíba,186
Pará - Maranhão,1
Pelotas,1
Potiguar,3548
Recôncavo,2270
Rio do Peixe,5
Santos,753
Sergipe,1255
Solimões,175
São Francisco,36
São Luís,1
Tucano Sul,24
