Column,Before,After
POCO,object,string
CADASTRO,int64,int64
OPERADOR,object,string
POCO_OPERADOR,object,string
ESTADO,object,string
BACIA,object,string
BLOCO,object,string
SIG_CAMPO,object,string
CAMPO,object,string
TERRA_MAR,object,string
POCO_POS_ANP,object,string
TIPO,int64,int8
CATEGORIA,object,string
RECLASSIFICACAO,object,string
SITUACAO,object,string
INICIO,object,datetime64[ns]
TERMINO,object,datetime64[ns]
CONCLUSAO,object,datetime64[ns]
LATITUDE_BASE_4C,object,string
LONGITUDE_BASE_4C,object,string
LATITUDE_BASE_DD,object,string
LONGITUDE_BASE_DD,object,string
DATUM_HORIZONTAL,object,string
TIPO_DE_COORDENADA_DE_BASE,object,string
DIRECAO,object,string
PROFUNDIDADE_VERTICAL_M,object,float64
PROFUNDIDADE_SONDADOR_M,object,float64
PROFUNDIDADE_MEDIDA_M,object,float64
REFERENCIA_DE_PROFUNDIDADE,object,string
MESA_ROTATIVA,object,float64
COTA_ALTIMETRICA_M,object,float64
LAMINA_D_AGUA_M,float64,float64
DATUM_VERTICAL,object,string
UNIDADE_ESTRATIGRAFICA,float64,float64
GEOLOGIA_GRUPO_FINAL,object,string
GEOLOGIA_FORMACAO_FINAL,object,string
GEOLOGIA_MEMBRO_FINAL,object,string
CDPE,object,string
AGP,float64,string
PC,object,string
PAG,object,string
PERFIS_CONVENCIONAIS,object,string
DURANTE_PERFURACAO,object,string
PERFIS_DIGITAIS,float64,string
PERFIS_PROCESSADOS,object,string
PERFIS_ESPECIAIS,object,string
AMOSTRA_LATERAL,object,string
SISMICA,object,string
TABELA_TEMPO_PROFUNDIDADE,object,string
DADOS_DIRECIONAIS,object,string
TESTE_A_CABO,object,string
TESTE_DE_FORMACAO,object,string
CANHONEIO,object,string
TESTEMUNHO,float64,string
GEOQUIMICA,float64,string
SIG_SONDA,object,string
NOM_SONDA,object,string
ATINGIU_PRESAL,object,string
DHA_ATUALIZACAO,object,datetime64[ns]
