bacia,count
Acre,1
Araripe,1
Camamu,1
Ceará,3
Espírito Santo,2
Foz Amazonas,2
Foz Amazonas / Pará Maranhão,1
Jacuipe,1
Parecis - Alto Xingu,3
Parnaiba,1
Parnaíba,6
Pelotas,1
Pernambuco Paraíba,1
Potiguar,12
Recôncavo,4
Rio do Peixe,2
Santos,2
Santos/Campos,1
Sergipe,4
Sergipe Alagoas,1
Solimões,11
São Francisco,3
São Luís,1
Tacutu,1
