bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),número_do_testemunho,profundidade_do_plugue_(m),orientação_do_plugue_(h_ou_v),identificador_da_caixa,total_de_caixas,data_de_conclusão_do_poço,município/estado,depositária
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.05,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.33,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.39,V,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,964.47,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400075400.0,1-BA-1-BA,2.0,965.22,H,1,1.0,1959-08-15,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400135600.0,1-CD-2-BA,1.0,788.25,H,1,1.0,1962-12-16,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400133500.0,1-CLO-1-BA,5.0,506.6,V,1,1.0,1962-09-21,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,669.75,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,670.05,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,6.0,670.35,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,887.55,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,887.85,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.15,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.3,V,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.5,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,888.95,H,1,1.0,1955-08-07,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400043100.0,1-PA-1-BA,8.0,889.0,V,1,1.0,1955-08-07,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,356.25,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,356.4,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,357.2,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,8.0,357.6,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
SÃO FRANCISCO,582750012700.0,1-MA-1-MG,9.0,365.25,H,1,1.0,1988-10-20,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,559.65,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,560.1,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,560.81,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,1.0,561.09,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,3.0,766.3,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,3.0,767.12,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,5.0,967.75,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400082000.0,1-SU-1-BA,5.0,968.2,H,1,1.0,1959-12-26,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,202400223600.0,3-SC-8-BA,1.0,980.0,H,1,1.0,1968-04-11,CATU/BA,PETROBRAS
RECÔNCAVO MAR,202400194900.0,5-DJR-3A-BA,2.0,80.07,H,1,1.0,1966-06-16,CATU/BA,PETROBRAS
RECÔNCAVO MAR,202400194900.0,5-DJR-3A-BA,2.0,80.07,V,1,1.0,1966-06-16,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,576.75,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,577.0,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,577.95,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.05,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.35,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.7,V,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,579.8,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,580.15,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,580.8,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,581.0,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,581.45,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,581.75,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.05,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.35,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.45,V,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.6,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240020636.0,7-BA-405D-BA,1.0,582.9,H,1,1.0,2003-09-29,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,982.2,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,982.9,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,983.25,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,984.2,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,984.65,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,984.8,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,985.05,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,985.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,986.1,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,986.9,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,988.35,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,988.75,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,989.15,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,989.95,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,990.15,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,990.5,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,990.85,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.15,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.4,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.7,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,991.9,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.6,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.8,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,992.9,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,993.15,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,993.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,993.8,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.1,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.6,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,994.7,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,995.0,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,995.2,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,995.55,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,995.65,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,995.9,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,996.25,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,996.45,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,996.55,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,997.1,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,997.75,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,998.05,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,998.15,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,998.35,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,998.65,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,998.95,H,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,999.05,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021788.0,7-JND-13D-BA,1.0,999.95,V,1,1.0,2006-05-04,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,934.6,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,934.85,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,935.15,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,935.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,935.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,935.95,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,936.1,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,936.45,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,936.65,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,936.95,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,937.05,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,937.25,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,937.6,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,937.85,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,938.0,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,938.15,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,938.5,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,938.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,939.05,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,939.15,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,939.4,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,939.65,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,939.95,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,940.05,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,940.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,940.85,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,941.05,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,942.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,943.1,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,943.2,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,943.4,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,943.65,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,944.0,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,944.15,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,944.3,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,944.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,944.9,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,945.05,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,945.15,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,945.45,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,945.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,946.1,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,946.2,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,946.4,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,946.7,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,947.0,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,947.2,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,947.3,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,947.6,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,947.95,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,948.2,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,948.25,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,948.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,948.85,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,949.1,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,949.25,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,1.0,949.7,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,952.3,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,952.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,952.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,952.95,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,953.15,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,953.5,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,953.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,954.0,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,954.1,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,954.35,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,954.85,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,955.0,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,955.25,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,955.6,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,955.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,955.9,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,956.15,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,956.45,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,956.75,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,956.95,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,957.05,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,957.25,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,957.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,957.8,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,957.95,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,958.05,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,958.4,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,958.7,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,958.9,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,959.3,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,959.6,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,959.75,V,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,959.95,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,960.2,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240021566.0,7-JND-3D-BA,2.0,960.55,H,1,1.0,2005-12-05,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,510.1,H,1,1.0,2009-10-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,510.4,H,1,1.0,2009-10-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,510.7,H,1,1.0,2009-10-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,510.85,V,1,1.0,2009-10-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,511.0,H,1,1.0,2009-10-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,511.3,H,1,1.0,2009-10-12,CATU/BA,PETROBRAS
RECÔNCAVO TERRA,20240024172.0,7-TGA-4D-BA,1.0,511.6,H,1,1.0,2009-10-12,CATU/BA,PETROBRAS
