poco,cadastro,operador,poco_operador,estado,bacia,bloco,sig_campo,campo,terra_mar,poco_pos_anp,tipo,categoria,reclassificacao,situacao,início,término,conclusao,titularidade,latitude_base_4c,longitude_base_4c,latitude_base_dd,longitude_base_dd,datum_horizontal,tipo_de_coordenada_de_base,direcao,profundidade_vertical_m,profundidade_sondador_m,profundidade_medida_m,referencia_de_profundidade,mesa_rotativa,cota_altimetrica_m,lamina_d_agua_m,datum_vertical,unidade_estratigrafica,geologia_grupo_final,geologia_formacao_final,geologia_membro_final,cdpe,agp,pc,pag,perfis_convencionais,durante_perfuracao,perfis_digitais,perfis_processados,perfis_especiais,amostra_lateral,sismica,tabela_tempo_profundidade,dados_direcionais,teste_a_cabo,teste_de_formacao,canhoneio,testemunho,geoquimica,sig_sonda,nom_sonda,atingiu_presal,dha_atualizacao
1-ALC-1-RN,721000167700,Phoenix Óleo & Gás,1ALC 0001  RN,RN,Potiguar,POT-T-790,PQO  ,PERIQUITO,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE GÁS NATURAL,EM OBSERVAÇÃO,1984-02-04,1984-02-27,1984-02-27,Público,"	-05:30:48,425","	-37:25:08,034","-5,5134513888","-37,4188983333",SIRGAS2000,Definitiva,Vertical,0.0,1944.0,0.0,MR,85.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-82,SONDA CONVENCIONAL 82,nan,2024-11-24
1-ALG-1-RN,721000431600,Petro-Victory,1ALG 0001  RN,RN,Potiguar,ALG_R13AM,4362 ,Alto Alegre,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO,1993-06-13,1993-07-09,1993-07-09,Público,"	-05:03:04,630","	-36:54:28,573","-5,0512861111","-36,9079369444",SIRGAS2000,Definitiva,Vertical,0.0,2562.0,0.0,MR,114.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,Existe,SC-106,SONDA CONVENCIONAL 106,I,2024-11-24
1-ALS-26-ALS,81160234900,Origem Alagoas,1ALS 0026  AL,AL,Alagoas,PARU,PARU ,PARU,M,N,1,Pioneiro,ABANDONADO POR OUTRAS RAZÕES,ARRASADO,1983-04-22,1983-06-15,1983-06-15,Público,"	-10:18:43,558","	-36:05:11,382","-10,3120994444","-36,086495",SIRGAS2000,Definitiva,Vertical,0.0,0.0,0.0,MR,26.0,0.0,24.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,PA-7                          ,nan,nan,2024-11-24
1-ANG-1-RN,721000185000,3R Potiguar,1ANG 0001  RN,RN,Potiguar,BPOT-6,ANG  ,ANGICO,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1984-08-04,1984-08-12,1984-08-12,Público,"	-05:24:49,357","	-37:02:23,018","-5,4137102777","-37,0397272222",SIRGAS2000,Definitiva,Vertical,0.0,906.0,0.0,MR,105.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-86,SONDA CONVENCIONAL 86,nan,2024-11-24
1-ANG-2-RN,721000297800,3R Potiguar,1ANG 0002  RN,RN,Potiguar,BPOT-6,ANG  ,ANGICO,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1987-10-26,1987-11-09,1987-11-09,Público,"	-05:24:19,905","	-37:02:01,824","-5,4055291666","-37,03384",SIRGAS2000,Definitiva,Vertical,0.0,1200.0,0.0,MR,99.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-94,SONDA CONVENCIONAL 94,I,2024-11-24
1-ANG-2-SE,901200258000,SPE Tiêta,1ANG 0002  SE,SE,Sergipe,S107,TTG  ,TARTARUGA,T,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1984-02-29,1984-04-02,1984-04-02,Público,"	-10:40:09,310","	-36:46:07,504","-10,6692527777","-36,7687511111",SIRGAS2000,Definitiva,Vertical,0.0,2670.0,0.0,MR,14.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,ET-3                          ,nan,nan,2024-11-24
1-APL-2-ESS,34281024147,Petro Rio Jaguar,1AEPL2ESS,ES,Campos,C-M-101,WAH  ,WAHOO,M,S,1,Pioneiro,PORTADOR DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,2009-09-03,2009-12-09,2009-12-20,Público,"	-21:34:43,968","	-39:53:10,318","-21,57888","-39,8861994444",SIRGAS2000,Definitiva,Vertical,5788.0,5815.0,5815.0,MR,25.0,0.0,1496.0,NM,nan,nan,nan,nan,Existe,nan,Existe,Existe,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,nan,nan,Existe,nan,NS-26,DEEPWATER MILLENIUM,S,2024-11-24
1-APL-3-ESS,34281024565,Petro Rio Jaguar,1APL3ESS,ES,Campos,C-M-101,nan,nan,M,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL,ABANDONADO PERMANENTEMENTE,2010-02-22,2010-08-14,2010-09-01,Público,"	-21:43:48,859","	-39:50:57,433","-21,7302386111","-39,8492869444",SIRGAS2000,Definitiva,Vertical,5162.0,5200.0,5242.0,MR,25.0,0.0,1476.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,nan,nan,nan,nan,NS-26,DEEPWATER MILLENIUM,S,2024-11-24
1-ARP-1D-RN,721000525600,Potiguar E&P S.A.,1ARP 0001D RN,RN,Potiguar,BPOT-4,ASB  ,ASA BRANCA,T,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1997-10-14,1997-11-03,1997-11-03,Público,"	-05:32:16,217","	-37:33:47,210","-5,5378380555","-37,5631138888",SIRGAS2000,Definitiva,Direcional,0.0,2077.0,0.0,MR,65.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC113                         ,nan,nan,2024-11-24
1-ATV-1-ES,342700051100,Petrobras,1ATV 0001  ES,ES,Espírito Santo,BCED,nan,nan,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,DEVOLVIDO,1999-06-14,1999-06-28,1999-06-28,Público,"	-19:06:14,897","	-39:50:32,218","-19,1041380555","-39,8422827777",SIRGAS2000,Definitiva,Vertical,0.0,1605.0,0.0,MR,8.0,0.0,0.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,SC-94,SONDA CONVENCIONAL 94,I,2024-11-24
1-ATV-2-ES,342700049700,Capixaba Energia,1ATV 0002  ES,ES,Espírito Santo,ES-T-441,BAT  ,BATUÍRA,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE GÁS NATURAL,DEVOLVIDO,1999-05-02,1999-05-16,1999-05-16,Público,"	-19:04:12,618","	-39:50:10,026","-19,0701716666","-39,8361183333",SIRGAS2000,Definitiva,Vertical,0.0,1623.0,0.0,MR,9.0,4.0,0.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,nan,nan,SC-94,SONDA CONVENCIONAL 94,I,2024-11-24
1-AURI-13-RN,72100021573,Aurizônia Petróleo,1AURI13RN,RN,Potiguar,POT-T-402,nan,nan,T,S,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,2005-11-16,2009-12-29,2009-12-30,Público,"	-05:09:08,663","	-36:25:42,563","-5,1524063888","-36,4284897222",SIRGAS2000,Definitiva,Vertical,1142.0,1195.0,1195.0,MR,53.0,49.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,Existe,Existe,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,SHRP - 01,ROTOPERCURSORA HIDROGEO,nan,2024-11-24
1-AURI-14-RN,72100021586,Aurizônia Petróleo,1AURI14RN,RN,Potiguar,POT-T-614,nan,nan,T,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ARRASADO,2005-11-24,2009-11-15,2009-11-19,Público,"	-05:20:30,206","	-36:54:21,893","-5,3417238888","-36,9060813888",SIRGAS2000,Definitiva,Vertical,797.0,872.0,871.0,MR,74.0,71.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,SHRP - 01,ROTOPERCURSORA HIDROGEO,nan,2024-11-24
1-AURI-16-RN,72100022169,Aurizônia Petróleo,1AURI16RN,RN,Potiguar,POT-T-321,nan,nan,T,S,1,Pioneiro,PORTADOR DE PETRÓLEO,ARRASADO,2007-02-02,2007-02-08,2007-02-11,Público,"	-05:03:59,728","	-37:16:54,584","-5,0665911111","-37,2818288888",SIRGAS2000,Definitiva,Vertical,0.0,616.0,616.0,MR,16.0,11.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GREAT126 (126/TUS 126/DF-06),GREAT - 126,I,2024-11-24
1-AURI-17-RN,72100022225,Aurizônia Petróleo,1AURI17RN,RN,Potiguar,POT-T-404,nan,nan,T,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ARRASADO,2007-03-09,2007-03-18,2007-03-18,Público,"	-05:09:03,913","	-36:18:19,784","-5,1510869444","-36,3054955555",SIRGAS2000,Definitiva,Vertical,832.0,855.0,855.0,MR,23.0,17.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GREAT126 (126/TUS 126/DF-06),GREAT - 126,nan,2024-11-24
1-AURI-18-RN,72100022247,Aurizônia Petróleo,1AURI18RN,RN,Potiguar,POT-T-403,nan,nan,T,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ARRASADO,2007-03-26,2007-04-04,2007-04-06,Público,"	-05:09:58,096","	-36:21:30,884","-5,1661377777","-36,3585788888",SIRGAS2000,Definitiva,Vertical,-763.0,796.0,796.0,MR,33.0,27.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,GREAT126 (126/TUS 126/DF-06),GREAT - 126,nan,2024-11-24
1-AURI-20-RN,72100022322,Aurizônia Petróleo,1AURI20RN,RN,Potiguar,POT-T-392,nan,nan,T,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO,ARRASADO,2007-05-10,2007-06-05,2007-06-07,Público,"	-05:09:43,985","	-37:01:00,359","-5,1622180555","-37,0167663888",SIRGAS2000,Definitiva,Vertical,-2050.0,2244.0,2244.0,MR,188.0,194.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GREAT126 (126/TUS 126/DF-06),GREAT - 126,nan,2024-11-24
1-AURI-25-SE,90120023427,Aurizônia Petróleo,1AURI25SE,SE,Sergipe,SEAL-T-418,nan,nan,T,S,1,Pioneiro,PORTADOR DE PETRÓLEO,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,2008-11-03,2008-11-09,2008-12-12,Público,"	-10:46:15,344","	-37:13:22,255","-10,7709288888","-37,2228486111",SIRGAS2000,Definitiva,Vertical,-547.0,648.0,648.0,MR,101.0,95.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GREAT126 (126/TUS 126/DF-06),GREAT - 126,nan,2024-11-24
1-AURI-26-RN,72100023458,Aurizônia Petróleo,1AURI26RN,RN,Potiguar,POT-T-298,nan,nan,T,S,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,2008-11-11,2008-11-23,2008-11-24,Público,"	-05:01:03,216","	-37:15:39,364","-5,01756","-37,2609344444",SIRGAS2000,Definitiva,Vertical,-947.0,972.0,972.0,MR,25.0,20.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PSY-11 (SPN),SONDA PIONEIRA NORDESTE,nan,2024-11-24
1-AURI-27-RN,72100023504,UTC Engenharia,1AURI27RN,RN,Potiguar,POT-T-573,nan,nan,T,S,1,Pioneiro,PORTADOR DE PETRÓLEO,ARRASADO,2008-12-01,2008-12-09,2008-12-31,Público,"	-05:18:40,301","	-36:35:49,249","-5,3111947222","-36,5970136111",SIRGAS2000,Definitiva,Vertical,-303.0,350.0,350.0,MR,47.0,42.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,PSY-11 (SPN),SONDA PIONEIRA NORDESTE,nan,2024-11-24
1-AURI-6-RN,72100021181,Níon Energia,1AURI6RN,RN,Potiguar,POT-T-432,nan,nan,T,S,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ARRASADO,2004-12-24,2004-12-24,2005-01-05,Público,"	-05:09:27,103","	-37:09:34,172","-5,1575286111","-37,1594922222",SIRGAS2000,Definitiva,Vertical,0.0,1500.0,1500.0,MR,83.0,78.0,0.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,Existe,nan,nan,UN-05,SONDA CONVENCIONAL UNAP 05,nan,2024-11-24
1-BAS-118-BAS,202660577300,nan,1BAS 0118  BA,BA,Almada,Brasil,nan,nan,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1996-03-28,1996-05-20,1996-05-20,Público,"	-14:22:50,326","	-38:50:37,558","-14,3806461111","-38,8437661111",SIRGAS2000,Definitiva,Vertical,0.0,4392.0,0.0,MR,12.0,0.0,823.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,NS-09,S. C. LANCER,nan,2024-11-24
1-BAS-120-BAS,202510579500,nan,1BAS 0120  BA,BA,Jequitinhonha,Brasil,nan,nan,M,N,1,Pioneiro,SECO SEM INDÍCIOS,"ABANDONADO/PARADO AGUARDANDO INTERVENÇÃO PARA AVALIAÇÃO, COMPLETAÇÃO OU RESTAURAÇÃO",1996-12-13,1997-01-21,1997-01-21,Público,"	-15:30:51,115","	-38:35:26,003","-15,5141986111","-38,5905563888",SIRGAS2000,Definitiva,Vertical,0.0,3703.0,0.0,MR,12.0,0.0,990.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,nan,Existe,NS-09,S. C. LANCER,nan,2024-11-24
1-BB-1-PR,643000753000,Barra Bonita,1BB  0001  PR,PR,Paraná,BB_R13AM,14358,BARRA BONITA,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,PRODUZINDO,1996-07-07,1997-01-06,1997-01-06,Público,"	-24:43:48,968","	-52:00:31,316","-24,7302688888","-52,0086988888",SIRGAS2000,Definitiva,Vertical,0.0,4006.0,0.0,MR,1008.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,nan,Existe,SC-109,SONDA CONVENCIONAL 109,I,2024-11-24
1-BC-1-RN,721000310200,3R Potiguar,1BC  0001  RN,RN,Potiguar,ET,ET   ,ESTREITO,T,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1988-03-05,1988-03-08,1988-03-08,Público,"	-05:20:18,091","	-36:46:39,059","-5,3383586111","-36,7775163888",SIRGAS2000,Definitiva,Vertical,0.0,590.0,0.0,MR,19.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,nan,nan,SC-85,SONDA CONVENCIONAL 85,nan,2024-11-24
1-BEN-1-RN,721000050100,nan,1BEN 0001  RN,RN,Potiguar,nan,nan,nan,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1980-07-31,1980-08-13,1980-08-13,Público,"	-04:57:56,959","	-37:05:37,774","-4,9658219444","-37,0938261111",SIRGAS2000,Definitiva,Vertical,0.0,710.0,0.0,MR,7.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-94,SONDA CONVENCIONAL 94,I,2024-11-24
1-BEN-2-RN,721000358000,nan,1BEN 0002  RN,RN,Potiguar,nan,nan,nan,T,N,1,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,1990-02-05,1990-02-13,1990-02-13,Público,"	-04:58:30,172","	-37:03:59,752","-4,9750477777","-37,0665977777",SIRGAS2000,Definitiva,Vertical,0.0,1447.0,0.0,MR,14.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SC-95,SONDA CONVENCIONAL 95,I,2024-11-24
1-BEN-3-RN,721000523600,3R Potiguar,1BEN 0003  RN,RN,Potiguar,BEN,BEN  ,BENFICA,T,N,1,Pioneiro,"DESCOBRIDOR DE CAMPO COM PETRÓLEO, GÁS NATURAL E CONDENSADO",FECHADO,1997-09-14,1997-09-26,1997-09-26,Público,"	-05:01:39,299","	-37:02:45,084","-5,0275830555","-37,0458566666",SIRGAS2000,Definitiva,Vertical,0.0,1498.0,0.0,MR,134.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,nan,nan,SC-82,SONDA CONVENCIONAL 82,I,2024-11-24
1-BGM-4-ES,34270029754,BGM,1-IBC-1-ES,ES,Espírito Santo,ES-T-496,IRAR ,IRARA,T,S,1,Pioneiro,nan,PRODUZINDO,2021-11-27,2021-12-29,2022-01-14,Público,"	-19:15:27,798","	-39:49:00,611","-19,2577216666","-39,8168363888",SIRGAS2000,Definitiva,Vertical,-2050.0,2061.0,2061.0,MR,11.0,5.0,0.0,NM,nan,Barra Nova,São Mateus,nan,Existe,nan,Existe,Existe,Existe,nan,nan,Existe,nan,nan,nan,nan,Existe,nan,nan,nan,nan,nan,CW-02,Cowan-02,I,2024-11-24
1-BGM-8-ES,34270029982,BGM,1-MRC-1-ES,ES,Espírito Santo,ES-T-506,4437 ,PA-1-BGM-6-ES_ES-T-506_R11,T,S,1,Pioneiro,nan,FECHADO,2023-02-14,2023-03-25,2023-04-10,Confidencial,"	-19:15:43,108","	-39:50:47,951","-19,2619744444","-39,8466530555",SIRGAS2000,Definitiva,Vertical,1661.0,1671.0,1673.0,MR,11.0,5.0,0.0,NM,nan,Nativo,Mariricu,Mucuri,Existe,nan,Existe,Existe,Existe,nan,nan,Existe,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,nan,CW-02,Cowan-02,I,2024-11-24
1-BIN-1-ES,342700049500,Petrobras,1BIN 0001  ES,ES,Espírito Santo,BCED,nan,nan,T,N,1,Pioneiro,SECO COM INDÍCIOS GÁS NATURAL,DEVOLVIDO,1999-04-26,1999-05-11,1999-05-11,Público,"	-19:06:38,025","	-39:45:12,389","-19,1105625","-39,7534413888",SIRGAS2000,Definitiva,Vertical,0.0,2220.0,0.0,MR,7.0,5.0,0.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UN-5                          ,nan,I,2024-11-24
1-BIO-1-ES,342700052400,Petrobras,1BIO 0001  ES,ES,Espírito Santo,BCED,nan,nan,T,N,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL,DEVOLVIDO,1999-11-06,1999-12-07,1999-12-07,Público,"	-19:07:36,288","	-39:45:06,119","-19,1267466666","-39,7516997222",SIRGAS2000,Definitiva,Vertical,0.0,2665.0,0.0,MR,8.0,6.0,0.0,NM,nan,nan,nan,nan,Existe,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,UN-5                          ,nan,I,2024-11-24
1-BJZ-1-RN,721000479200,Potiguar E&P S.A.,1BJZ 0001  RN,RN,Potiguar,JZ,JZ   ,JUAZEIRO,T,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1995-04-23,1995-05-10,1995-05-10,Público,"	-05:34:39,509","	-37:24:12,054","-5,5776413888","-37,4033483333",SIRGAS2000,Definitiva,Vertical,0.0,1233.0,0.0,MR,113.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-95,SONDA CONVENCIONAL 95,I,2024-11-24
1-BN-3-ES,342700021800,BGM,1BN  0003  ES,ES,Espírito Santo,ES-T-496,nan,nan,T,N,1,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,1989-11-09,1989-11-20,1989-11-20,Público,"	-19:15:58,621","	-39:51:04,109","-19,2662836111","-39,8511413888",SIRGAS2000,Definitiva,Vertical,0.0,1535.0,0.0,MR,10.0,0.0,0.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-91,SONDA CONVENCIONAL 91,I,2024-11-24
1-BPS-8-RSS,263810218200,nan,1BPS 0008  BP,RS,Pelotas,Brasil,nan,nan,M,N,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,1996-08-21,1996-09-18,1996-09-18,Público,"	-32:01:44,642","	-50:08:31,462","-32,0290672222","-50,1420727777",SIRGAS2000,Definitiva,Vertical,0.0,2595.0,0.0,MR,27.0,0.0,165.0,NM,nan,nan,nan,nan,nan,Existe,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,P-23,PETROBRAS  XXIII,nan,2024-11-24
1-BP-1-RN,721000713700,3R Potiguar,1BP  0001  RN,RN,Potiguar,PSA,PSA  ,PEDRA SENTADA,T,N,1,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,1984-11-13,1984-12-02,1984-12-02,Público,"	-05:01:13,918","	-37:03:50,080","-5,0205327777","-37,0639111111",SIRGAS2000,Definitiva,Vertical,0.0,1549.0,0.0,MR,88.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,CP-1                          ,nan,nan,2024-11-24
1-BP-10-BAS,20246027256,BP Energy,PITANGA-1,BA,Camamu,CAL-M-314,nan,nan,M,S,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,2013-09-16,2013-11-01,2013-12-11,Público,"	-14:18:29,539","	-38:22:19,103","-14,3082052777","-38,3719730555",SIRGAS2000,Definitiva,Vertical,5919.0,5940.0,5944.0,MR,25.0,0.0,2578.0,NM,nan,Camamu,Algodões,nan,Existe,nan,Existe,Existe,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,nan,nan,nan,nan,DS4,Deep Ocean Clarion,N,2024-11-24
1-BP-2-RN,721000338000,3R Potiguar,1BP  0002  RN,RN,Potiguar,PSA,PSA  ,PEDRA SENTADA,T,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,1989-03-20,1989-04-04,1989-04-04,Público,"	-05:01:52,359","	-37:03:59,298","-5,0312108333","-37,0664716666",SIRGAS2000,Definitiva,Vertical,0.0,1535.0,0.0,MR,82.0,0.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Existe,SC-82,SONDA CONVENCIONAL 82,nan,2024-11-24
1-BP-5-RJS,74281025891,BP Energy,TALHAMAR,RJ,Campos,C-M-473,nan,nan,M,S,1,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,2011-12-02,2011-12-28,2012-01-02,Público,"	-23:02:49,406","	-40:12:46,323","-23,0470572222","-40,2128675",SIRGAS2000,Definitiva,Vertical,3836.0,3860.0,3860.0,MR,24.0,0.0,2504.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,Existe,nan,nan,nan,nan,nan,nan,Existe,nan,nan,nan,nan,nan,DS4,Deep Ocean Clarion,N,2024-11-24
1-BP-6-RJS,74281025970,BP Energy,GRAZINA,RJ,Campos,C-M-473,nan,nan,M,S,1,Pioneiro,SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL,ABANDONADO PERMANENTEMENTE,2012-01-07,2012-02-25,2012-03-12,Público,"	-23:08:25,849","	-40:11:52,905","-23,1405136111","-40,1980291666",SIRGAS2000,Definitiva,Vertical,5913.0,5933.0,5938.0,MR,25.0,0.0,2587.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,nan,nan,nan,nan,nan,DS4,Deep Ocean Clarion,N,2024-11-24
1-BP-7-RJS,74281026107,BP Energy,ANU,RJ,Campos,C-M-473,nan,nan,M,S,1,Pioneiro,PORTADOR DE PETRÓLEO,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,2012-03-14,2012-09-20,2012-10-19,Público,"	-23:06:09,622","	-40:00:41,295","-23,1026727777","-40,0114708333",SIRGAS2000,Definitiva,Vertical,6900.0,6925.0,6925.0,MR,25.0,0.0,2730.0,NM,nan,nan,nan,nan,Existe,nan,Existe,nan,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,nan,nan,nan,nan,DS4,Deep Ocean Clarion,S,2024-11-24
1-BRSA-1005-MG,58275025825,Petrobras,1PDR1MG,MG,São Francisco,SF-T-112,nan,nan,T,S,1,Pioneiro,PORTADOR DE GÁS NATURAL,EM PERFURAÇÃO,2011-11-02,2012-05-25,2012-07-02,Público,"	-17:05:15,726","	-45:39:27,687","-17,0877016666","-45,6576908333",SIRGAS2000,Definitiva,Vertical,-2328.0,2846.0,2852.0,MR,524.0,515.0,0.0,NM,nan,nan,nan,nan,nan,nan,Existe,nan,Existe,Existe,nan,nan,nan,Existe,Existe,nan,Existe,Existe,Existe,nan,Existe,Existe,SC-109,SONDA CONVENCIONAL 109,I,2024-11-24
