;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Identificador da caixa;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária;;
CAMPOS;74281026984;7-PPT-16HP-RJS;25;28;4971;5037;05/05/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026984;7-PPT-16HP-RJS;26;28;5037;5103;05/05/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026984;7-PPT-16HP-RJS;27;28;5103;5169;05/05/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026984;7-PPT-16HP-RJS;28;28;5169;5235;05/05/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;1;12;2214;2385;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;2;12;2385;2565;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;3;12;2565;2745;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;4;12;2745;2952;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;5;12;2952;3012;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;6;12;3012;3072;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;7;12;3072;3132;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;8;12;3132;3192;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;9;12;3192;3252;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;10;12;3252;3312;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;11;12;3312;3372;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281027036;8-PPT-10D-RJS;12;12;3372;3423;04/06/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;1;17;1916;2087;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;2;17;2087;2268;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;3;17;2268;2448;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;4;17;2448;2628;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;5;17;2628;2808;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;6;17;2808;2988;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;7;17;2988;3168;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;8;17;3168;3348;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;9;17;3348;3528;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;10;17;3528;3708;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;11;17;3708;3793;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;12;17;3793;3852;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;13;17;3852;3912;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;14;17;3912;3972;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;15;17;3972;4032;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;16;17;4032;4092;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026559;8-PPT-35HP-RJS;17;17;4092;4127;06/11/2013;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;1;14;2205;2376;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;2;14;2376;2556;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;3;14;2556;2736;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;4;14;2736;2916;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;5;14;2916;3096;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;6;14;3096;3276;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;7;14;3276;3348;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;8;14;3348;3408;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;9;14;3408;3468;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;10;14;3468;3528;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;11;14;3528;3588;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;12;14;3588;3648;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;13;14;3648;3708;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026356;9-PPT-8DA-RJS;14;14;3708;3760;04/08/2012;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026879;9-PPT-36D-RJS;1;19;2124;2313;14/04/2013;RIO DE JANEIRO/RJ;3R;;
