;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Profundidade do plugue (m);Orientação do plugue (H ou V);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
CAMPOS;74281023752;3-BRSA-715D-RJS;1;3288;H;1;2;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;1;3289;H;1;2;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;1;3291;H;1;2;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281021174;3-BRSA-325-RJS;1;3058;H;1;1;26/02/2005;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000357100;3-CN-6-RN;1;710;V;15;1;10/01/1990;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000357100;3-CN-6-RN;1;712;H;15;1;10/01/1990;RIO DE JANEIRO/RJ;3R
LAGOA AROEIRA;721000345200;1-LAR-2-RN;1;427;H;26;2;06/07/1989;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000379600;3-SCR-4-RN;1;692;H;16;5;19/01/1991;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000379600;3-SCR-4-RN;1;693;H;16;5;19/01/1991;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000361900;3-CN-4D-RN;1;732;H;28;3;12/05/1990;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000361900;3-CN-4D-RN;1;732;V;28;3;12/05/1990;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000361900;3-CN-4D-RN;1;749;H;29;3;12/05/1990;RIO DE JANEIRO/RJ;3R
SALINA CRISTAL;721000365700;7-SCR-5-RN;1;548;H;30;2;25/07/1990;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000291100;3-SCR-3-RN;1;580;H;24;2;21/08/1987;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000373700;7-LAR-5-RN ;1;544;H;32;15;26/10/1990;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;953;H;22;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;953;V;22;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;954;V;22;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;958;H;23;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;958;V;23;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;961;V;23;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010196300;3-RNS-74-RN;1;961;H;23;3;08/12/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000401100;7-CN-17-RN;1;691;H;24;3;12/01/1992;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;538;H;33;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;538;V;33;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;546;H;33;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;558;H;33;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;565;H;33;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;565;V;33;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000385600;7-SCR-8-RN;1;744;H;35;4;01/05/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000394800;3-SCR-11-RN;1;760;H;12;4;06/10/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000394800;3-SCR-11-RN;1;762;H;12;4;06/10/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000394800;3-SCR-11-RN;1;769;H;12;4;06/10/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000394800;3-SCR-11-RN;1;775;H;12;4;06/10/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000394800;3-SCR-11-RN;1;775;V;12;4;06/10/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000384700;7-CN-9-RN;1;679..7;H;8;2;15/04/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000384700;7-CN-9-RN;1;680;V;8;2;15/04/1991;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000207000;7-MA-21-RN;1;893;V;36;2;17/03/1985;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000112200;3-MA-7-RN;1;1394;V;19;1;08/11/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000112200;3-MA-7-RN;1;1394;H;19;1;08/11/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000112200;3-MA-7-RN;1;1398;H;19;1;08/11/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000112200;3-MA-7-RN;1;1398;V;19;1;08/11/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000115800;1-RCA-1-RN;1;1419;H;18;2;02/12/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000115800;1-RCA-1-RN;1;1419;V;18;2;02/12/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000115800;1-RCA-1-RN;1;1420;V;18;2;02/12/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721000115800;1-RCA-1-RN;1;1420;H;18;2;02/12/1982;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010169600;3-RNS-47-RN;1;1042;V;20;4;12/03/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010169600;3-RNS-47-RN;1;1042;H;20;4;12/03/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010169600;3-RNS-47-RN;1;1269;H;21;4;12/03/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010169600;3-RNS-47-RN;1;1269;V;21;4;12/03/1984;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010540100;7-SER-1D-RNS;1;1415;V;14;3;17/08/1998;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010540100;7-SER-1D-RNS;1;1435;H;15;3;17/08/1998;RIO DE JANEIRO/RJ;3R
POTIGUAR;721010540100;7-SER-1D-RNS;1;1436;V;15;3;17/08/1998;RIO DE JANEIRO/RJ;3R
