ID1,BACIA,NOME_SETOR,geometry
44,Foz do Amazonas,SFZA-AP1,"POLYGON ((-49.75 5.25, -49.75 5, -49.50000000000001 5, -49.50000000000001 5.25, -49 5.25, -49 5, -49.249999999999986 5, -49.249999999999986 4.749999999999998, -49.5 4.749999999999998, -49.5 4.5, -50 4.5, -50 4.749999999999998, -50.25000000000001 4.749999999999998, -50.25000000000001 5, -50.5 5, -50.5 5.25, -50.625 5.25, -50.75 5.25, -50.75 5.333333333333333, -50.6875 5.333333333333333, -50.6875 5.416666666666668, -50.62499999999999 5.416666666666668, -50.62499999999999 5.5, -50.56250000000001 5.5, -50.56250000000001 5.541666666666668, -50.5 5.541666666666668, -50.5 5.625000000000002, -50.43750000000001 5.625000000000002, -50.43750000000001 5.708333333333334, -50.37499999999999 5.708333333333334, -50.37499999999999 5.749999999999999, -50.25000000000001 5.749999999999999, -50.25000000000001 5.5, -50 5.5, -50 5.25, -49.75 5.25))"
45,Foz do Amazonas,SFZA-AR3,"POLYGON ((-50.125 1.9166666666666665, -50.125 2, -50 2, -50 2.125, -49.874999999999986 2.125, -49.874999999999986 2.25, -49.75 2.25, -49.75 2.374999999999999, -49.625 2.374999999999999, -49.625 2.5, -49.5 2.5, -49.5 2.625, -49.375 2.625, -49.375 2.75, -49.249999999999986 2.75, -49.249999999999986 2.874999999999999, -49.12500000000001 2.874999999999999, -49.12500000000001 3.0000000000000004, -49 3.0000000000000004, -49 3.125, -48.875 3.125, -48.875 3.25, -48.749999999999986 3.25, -48.749999999999986 3.375, -48.625 3.375, -48.625 3.5, -48.5 3.4999999999999996, -48.5 3.25, -48.00000000000001 3.25, -48.00000000000001 3.0000000000000004, -47.75 3.0000000000000004, -47.75 2.5, -47.5 2.5, -47.5 2, -47.624999999999986 2, -47.624999999999986 1.8749999999999996, -47.75 1.8749999999999996, -47.75 1.75, -47.874999999999986 1.75, -47.874999999999986 1.625, -48.00000000000001 1.625, -48.00000000000001 1.5000000000000002, -48.125 1.5000000000000002, -48.125 1.375, -48.25 1.375, -48.25 1.25, -48.375 1.25, -48.375 1.125, -48.5 1.125, -48.5 1, -48.625 1, -48.625 0.875, -48.749999999999986 0.875, -48.749999999999986 0.7500000000000001, -48.875 0.7500000000000001, -48.875 0.625, -49 0.625, -49 0.5, -49.12500000000001 0.5, -49.12500000000001 0.3750000000000001, -49.249999999999986 0.3750000000000001, -49.249999999999986 0.25, -49.375 0.25, -49.375 0.125, -49.5 0.125, -49.5 0.25, -49.625 0.25, -49.625 0.3750000000000001, -50 0.3750000000000001, -50 0.6666666666666666, -50.0625 0.6666666666666666, -50.0625 0.7916666666666665, -50 0.7916666666666665, -50 0.875, -49.93749999999999 0.875, -49.9375 0.9583333333333333, -49.874999999999986 0.9583333333333333, -49.874999999999986 1.75, -50 1.75, -50 1.7916666666666667, -50.125 1.7916666666666667, -50.125 1.8333333333333337, -50.25000000000001 1.8333333333333337, -50.25000000000001 1.9166666666666665, -50.125 1.9166666666666665))"
46,Foz do Amazonas,SFZA-AP3,"POLYGON ((-48.00000000000001 3.749999999999999, -48.00000000000001 4, -47.75 4, -47.75 4.25, -47.5 4.25, -47.5 4.5, -47.25 4.5, -47.25 4.749999999999998, -47 4.749999999999998, -47 4.25, -46.75 4.25, -46.75 3.749999999999999, -46.499999999999986 3.749999999999999, -46.499999999999986 3.0000000000000004, -46.75 3.0000000000000004, -46.75 2.75, -47 2.75, -47 2.5, -47.25 2.5, -47.25 2.25, -47.5 2.25, -47.5 2.5, -47.75 2.5, -47.75 3.0000000000000004, -48.00000000000001 3.0000000000000004, -48.00000000000001 3.25, -48.5 3.25, -48.5 3.749999999999999, -48.00000000000001 3.749999999999999))"
47,Foz do Amazonas,SFZA-AR4,"POLYGON ((-49.375 0.25, -49.249999999999986 0.25, -49.249999999999986 0.3750000000000001, -49.12500000000001 0.3750000000000001, -49.12500000000001 0.5, -49 0.5, -49 0.625, -48.875 0.625, -48.875 0.7500000000000001, -48.749999999999986 0.7500000000000001, -48.749999999999986 0.875, -48.625 0.875, -48.625 1, -48.5 1, -48.5 1.125, -48.375 1.125, -48.375 1.25, -48.25 1.25, -48.25 1.375, -48.125 1.375, -48.125 1.5000000000000002, -48.00000000000001 1.5000000000000002, -48.00000000000001 1.625, -47.874999999999986 1.625, -47.874999999999986 1.75, -47.75 1.75, -47.75 1.8749999999999996, -47.624999999999986 1.8749999999999996, -47.624999999999986 2, -47 2, -47 1.75, -46.75 1.75, -46.75 1.5000000000000002, -46.499999999999986 1.5000000000000002, -46.499999999999986 1, -46.625 1, -46.625 0.875, -46.75 0.875, -46.75 0.7500000000000001, -46.875 0.7500000000000001, -46.875 0.625, -47 0.625, -47 0.3750000000000001, -47.125 0.3750000000000001, -47.125 0.25, -47.25 0.25, -47.25 0.125, -47.375 0.125, -47.375 0, -47.5 0, -47.5 -0.25, -47.624999999999986 -0.25, -47.624999999999986 -0.3750000000000001, -47.75 -0.3750000000000001, -47.75 -0.5, -48.00000000000001 -0.5, -48.00000000000001 -0.625, -48.125 -0.625, -48.125 -0.5, -48.375 -0.5, -48.375 -0.25, -48.749999999999986 -0.25, -48.749999999999986 -0.125, -49.12500000000001 -0.125, -49.12500000000001 0, -49.375 0, -49.375 0.25))"
48,Foz do Amazonas,SFZA-AP4,"POLYGON ((-47 2.75, -46.75 2.75, -46.75 3.0000000000000004, -46.499999999999986 3.0000000000000004, -46.499999999999986 2.5, -46.25 2.5, -46.25 2.25, -45.75 2.25, -45.75 2, -45.999999999999986 2, -45.999999999999986 1.5000000000000002, -46.25 1.5000000000000002, -46.25 1.25, -46.499999999999986 1.25, -46.499999999999986 1.5000000000000002, -46.75 1.5000000000000002, -46.75 1.75, -47 1.75, -47 2, -47.5 2, -47.5 2.25, -47.25 2.25, -47.25 2.5, -47 2.5, -47 2.75))"
49,Foz do Amazonas,SFZA-AP2,"POLYGON ((-49.75 4.5, -49.5 4.5, -49.5 4.749999999999998, -49.249999999999986 4.749999999999998, -49.249999999999986 5, -49 5, -49 5.25, -48.5 5.25, -48.5 5, -47.5 5, -47.5 4.749999999999998, -47.25 4.749999999999998, -47.25 4.5, -47.5 4.5, -47.5 4.25, -47.75 4.25, -47.75 4, -48.00000000000001 4, -48.00000000000001 3.749999999999999, -48.749999999999986 3.749999999999999, -48.749999999999986 4, -49.249999999999986 4, -49.249999999999986 4.25, -49.75 4.25, -49.75 4.5))"
50,Foz do Amazonas,SFZA-C,"POLYGON ((-50.125 1.9166666666666665, -50.25000000000001 1.9166666666666665, -50.25000000000001 1.9583333333333335, -50.3125 1.9583333333333335, -50.3125 2.125, -50.37499999999999 2.125, -50.374999999999986 2.208333333333333, -50.6875 2.208333333333333, -50.6875 2.374999999999999, -50.75 2.3749999999999996, -50.75 2.541666666666666, -50.812499999999986 2.541666666666666, -50.812499999999986 2.75, -50.875 2.75, -50.875 2.833333333333333, -50.9375 2.833333333333333, -50.9375 3.0000000000000004, -50.99999999999999 3.0000000000000004, -50.999999999999986 3.333333333333333, -51.0625 3.333333333333333, -51.0625 3.916666666666667, -51.125 3.916666666666667, -51.125 4.083333333333332, -51.1875 4.083333333333332, -51.1875 4.208333333333334, -51.25 4.208333333333334, -51.25 4.25, -51.312499999999986 4.25, -51.312499999999986 4.291666666666668, -51.312499999999986 4.333333333333332, -51.37500000000001 4.333333333333332, -51.37500000000001 4.375, -51.4375 4.375, -51.4375 4.5, -51.37500000000001 4.5, -51.37500000000001 4.583333333333333, -51.31249999999999 4.583333333333333, -51.31249999999999 4.666666666666667, -51.25 4.666666666666667, -51.25 4.708333333333334, -51.1875 4.708333333333334, -51.1875 4.749999999999999, -50.99999999999999 4.749999999999999, -50.99999999999999 4.375, -50.75 4.375, -50.75 4.125, -50.62499999999999 4.125, -50.62499999999999 3.875, -50.5 3.875, -50.5 3.7499999999999996, -50.374999999999986 3.749999999999999, -50.37499999999999 3.5, -50.25000000000001 3.5, -50.25000000000001 3.25, -50.125 3.25, -50.125 2.8749999999999996, -50 2.8749999999999996, -50 2.625, -49.87499999999999 2.625, -49.87499999999999 2.5, -49.75 2.5, -49.75 2.25, -49.874999999999986 2.25, -49.874999999999986 2.125, -50 2.125, -50 2, -50.125 2, -50.125 1.9166666666666665))"
51,Foz do Amazonas,SFZA-AR1,"POLYGON ((-50.25000000000001 3.749999999999999, -50.5 3.7499999999999996, -50.5 3.875, -50.62499999999999 3.875, -50.62499999999999 4.125, -50.75 4.125, -50.75 4.375, -50.99999999999999 4.375, -50.999999999999986 4.749999999999998, -51.1875 4.749999999999999, -51.1875 4.791666666666667, -51.125 4.791666666666667, -51.125 4.833333333333334, -51.0625 4.833333333333334, -51.0625 4.958333333333334, -50.99999999999999 4.958333333333334, -50.99999999999999 5.041666666666667, -50.9375 5.041666666666667, -50.9375 5.124999999999999, -50.875 5.124999999999999, -50.875 5.166666666666666, -50.81249999999999 5.166666666666666, -50.81249999999999 5.25, -50.62499999999999 5.25, -50.5 5.25, -50.5 5, -50.25000000000001 5, -50.25000000000001 4.749999999999998, -50 4.749999999999998, -50 4.5, -49.75 4.5, -49.75 4.25, -49.874999999999986 4.25, -49.874999999999986 4.125, -50 4.125, -50 4, -50.125 4, -50.125 3.875, -50.25000000000001 3.875, -50.25000000000001 3.749999999999999))"
52,Foz do Amazonas,SFZA-AR2,"POLYGON ((-49.75 2.374999999999999, -49.75 2.5, -49.87499999999999 2.5, -49.87499999999999 2.625, -50 2.625, -50 2.8749999999999996, -50.125 2.8749999999999996, -50.125 3.25, -50.25000000000001 3.25, -50.25000000000001 3.5, -50.37499999999999 3.5, -50.374999999999986 3.749999999999999, -50.25000000000001 3.749999999999999, -50.25000000000001 3.875, -50.125 3.875, -50.125 4, -50 4, -50 4.125, -49.874999999999986 4.125, -49.874999999999986 4.25, -49.249999999999986 4.25, -49.249999999999986 4, -48.749999999999986 4, -48.749999999999986 3.749999999999999, -48.5 3.749999999999999, -48.5 3.4999999999999996, -48.625 3.5, -48.625 3.375, -48.749999999999986 3.375, -48.749999999999986 3.25, -48.875 3.25, -48.875 3.125, -49 3.125, -49 3.0000000000000004, -49.12500000000001 3.0000000000000004, -49.12500000000001 2.874999999999999, -49.249999999999986 2.874999999999999, -49.249999999999986 2.75, -49.375 2.75, -49.375 2.625, -49.5 2.625, -49.5 2.5, -49.625 2.5, -49.625 2.374999999999999, -49.75 2.374999999999999))"
53,Foz do Amazonas,SFZA-T,"POLYGON ((-51.4375 4.458333333333334, -51.4375 4.375, -51.37500000000001 4.375, -51.37500000000001 4.333333333333332, -51.312499999999986 4.333333333333332, -51.312499999999986 4.291666666666668, -51.312499999999986 4.25, -51.25 4.25, -51.25 4.208333333333334, -51.1875 4.208333333333334, -51.1875 4.083333333333332, -51.125 4.083333333333332, -51.125 3.916666666666667, -51.0625 3.916666666666667, -51.0625 3.333333333333333, -50.999999999999986 3.333333333333333, -50.999999999999986 3.0000000000000004, -50.9375 3.0000000000000004, -50.9375 2.833333333333333, -50.875 2.833333333333333, -50.875 2.75, -50.812499999999986 2.75, -50.812499999999986 2.541666666666666, -50.75 2.541666666666666, -50.75 2.3749999999999996, -50.6875 2.374999999999999, -50.6875 2.208333333333333, -50.374999999999986 2.208333333333333, -50.374999999999986 2.125, -50.3125 2.125, -50.3125 1.9583333333333335, -50.25000000000001 1.9583333333333335, -50.25000000000001 1.8333333333333337, -50.125 1.8333333333333337, -50.125 1.7916666666666667, -50 1.7916666666666667, -50 1.75, -49.874999999999986 1.75, -49.874999999999986 0.9583333333333333, -49.9375 0.9583333333333333, -49.9375 0.875, -50 0.875, -50 0.7916666666666665, -50.0625 0.7916666666666665, -50.0625 0.6666666666666666, -50 0.6666666666666666, -50 0.4166666666666666, -50.0625 0.4166666666666666, -50.0625 0.4583333333333334, -50.125 0.4583333333333334, -50.125 0.5416666666666665, -50.1875 0.5416666666666665, -50.1875 0.625, -50.25000000000001 0.625, -50.25000000000001 0.7083333333333333, -50.374999999999986 0.7083333333333333, -50.374999999999986 0.6666666666666666, -50.4375 0.6666666666666666, -50.4375 0.625, -50.5 0.625, -50.5 0.4999999999999999, -50.56250000000001 0.5, -50.56250000000001 0.3750000000000001, -50.624999999999986 0.3750000000000001, -50.624999999999986 0.3333333333333333, -50.6875 0.3333333333333333, -50.6875 0.25, -50.75 0.25, -50.75 0.2083333333333333, -50.812499999999986 0.2083333333333333, -50.812499999999986 0.1666666666666667, -50.9375 0.1666666666666667, -50.9375 0.125, -50.999999999999986 0.125, -50.999999999999986 0.0416666666666667, -51.0625 0.0416666666666667, -51.0625 -0.0416666666666667, -51.25 -0.0416666666666667, -51.25 0.0416666666666667, -51.312499999999986 0.0416666666666667, -51.312499999999986 0.125, -51.37500000000001 0.125, -51.37500000000001 0.2083333333333333, -51.4375 0.2083333333333333, -51.4375 0.2916666666666666, -51.49999999999999 0.2916666666666666, -51.49999999999999 0.3333333333333333, -51.5625 0.3333333333333333, -51.5625 0.3750000000000001, -51.5625 0.5416666666666665, -51.625 0.5416666666666665, -51.625 0.5833333333333334, -51.68750000000001 0.5833333333333334, -51.68750000000001 0.7083333333333333, -51.625 0.7083333333333333, -51.625 0.7500000000000001, -51.4375 0.7500000000000001, -51.4375 0.7916666666666665, -51.37500000000001 0.7916666666666665, -51.37500000000001 0.8333333333333333, -51.312499999999986 0.8333333333333333, -51.312499999999986 0.875, -51.125 0.875, -51.125 1.083333333333333, -51.0625 1.083333333333333, -51.0625 1.25, -50.999999999999986 1.25, -50.999999999999986 1.3333333333333333, -50.9375 1.3333333333333333, -50.9375 1.458333333333333, -50.999999999999986 1.458333333333333, -50.999999999999986 1.9166666666666665, -50.9375 1.9166666666666665, -50.9375 2.374999999999999, -50.999999999999986 2.374999999999999, -50.999999999999986 2.541666666666666, -51.0625 2.541666666666666, -51.0625 2.6666666666666665, -51.125 2.6666666666666665, -51.125 3.0000000000000004, -51.1875 3.0000000000000004, -51.1875 3.083333333333333, -51.25 3.083333333333333, -51.25 3.166666666666666, -51.312499999999986 3.166666666666666, -51.312499999999986 3.2916666666666674, -51.37500000000001 3.2916666666666674, -51.37500000000001 3.333333333333333, -51.4375 3.333333333333333, -51.4375 3.416666666666666, -51.5625 3.416666666666666, -51.56249999999999 3.5, -51.625 3.5, -51.625 3.6250000000000004, -51.68750000000001 3.6250000000000004, -51.68750000000001 3.7083333333333326, -51.749999999999986 3.7083333333333326, -51.749999999999986 3.791666666666666, -51.68750000000001 3.791666666666666, -51.68750000000001 3.875, -51.68750000000001 3.916666666666667, -51.749999999999986 3.916666666666667, -51.749999999999986 3.958333333333334, -51.68750000000001 3.958333333333334, -51.68750000000001 4, -51.625 4, -51.625 4.125, -51.5625 4.125, -51.5625 4.375, -51.49999999999999 4.375, -51.49999999999999 4.458333333333334, -51.4375 4.458333333333334))"
