Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
CAMPOS MAR;342810280100;1-BRSA-192-ESS;ÓLEO;2.623,50;2.632,50;4;Garrafa Vidro Âmbar;1;05/04/2003;CATU/BA;PETROBRAS
CAMPOS MAR;342810281200;1-BRSA-196-ESS;ÓLEO;2.691,00;2.707,00;2;Garrafa Vidro Âmbar;1;23/04/2003;CATU/BA;PETROBRAS
CAMPOS MAR;342810322900;1-BRSA-458-ESS;ÓLEO;5.485,00;5.575,00;2;Garrafa Vidro Âmbar;1;21/02/2007;CATU/BA;PETROBRAS
CAMPOS MAR;742810367700;1-OGX-2A-RJS;ÁGUA;0,00;0,00;4;Garrafa Vidro Âmbar;1;22/12/2009;CATU/BA;PETROBRAS
CAMPOS MAR;742810367700;1-OGX-2A-RJS;ÓLEO;3.213,00;3.213,00;2;Garrafa Vidro Âmbar;1;22/12/2009;CATU/BA;PETROBRAS
CAMPOS MAR;742810367700;1-OGX-2A-RJS;ÓLEO;3.428,40;3.428,40;2;Garrafa Vidro Âmbar;1;22/12/2009;CATU/BA;PETROBRAS
CAMPOS MAR;742810367700;1-OGX-2A-RJS;ÓLEO;3.459,00;3.459,00;2;Garrafa Vidro Âmbar;1;22/12/2009;CATU/BA;PETROBRAS
CAMPOS MAR;742810370100;1-OGX-3-RJS;ÓLEO;0,00;0,00;2;Garrafa Vidro Âmbar;1;25/02/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810370100;1-OGX-3-RJS;NAO IDENTIFICADO;3.341,80;3.341,80;2;Garrafa Vidro Âmbar;1;25/02/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810370400;1-OGX-6-RJS;ÓLEO;3.195,70;3.195,70;2;Garrafa Vidro Âmbar;1;01/04/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810401100;1-OGX-7A-RJS;ÁGUA;0,00;0,00;4;Garrafa Vidro Âmbar;1;01/05/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810401600;1-OGX-18A-RJS;ÓLEO;0,00;0,00;2;Garrafa Vidro Âmbar;1;30/09/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810401700;1-OGX-20-RJS;OLEO CORTADO POR AGUA;0,00;0,00;2;Garrafa Vidro Âmbar;1;13/01/2011;CATU/BA;PETROBRAS
CAMPOS MAR;742810401700;1-OGX-20-RJS;OLEO CORTADO POR AGUA;2.788,50;2.788,50;2;Garrafa Vidro Âmbar;1;13/01/2011;CATU/BA;PETROBRAS
ESPÍRITO SANTO MAR;342710149400;1-BRSA-650D-ESS;ÓLEO;4.664,00;5.030,00;2;Garrafa Vidro Âmbar;1;13/03/2009;CATU/BA;PETROBRAS
ESPÍRITO SANTO MAR;342710157200;1-BRSA-719-ESS;ÓLEO;3.910,50;3.935,00;2;Garrafa Vidro Âmbar;1;23/11/2009;CATU/BA;PETROBRAS
ESPÍRITO SANTO MAR;342710190900;1-BRSA-1143D-ESS;ÓLEO;4.557,00;4.634,00;2;Garrafa Vidro Âmbar;1;19/04/2013;CATU/BA;PETROBRAS
ESPÍRITO SANTO MAR;342710330500;1-BRSA-535-ESS;CONDENSADO;5.256,00;5.280,00;2;Garrafa Vidro Âmbar;1;20/10/2007;CATU/BA;PETROBRAS
ESPÍRITO SANTO TERRA;342700207700;1-BRSA-1318-ES;ÓLEO;745,00;778,00;2;Garrafa Vidro Âmbar;1;28/09/2015;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000650500;1-BRSA-320-RN;ÓLEO;1.125,00;1.129,00;2;Garrafa Vidro Âmbar;1;01/02/2005;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000650500;1-BRSA-320-RN;ÓLEO;1.308,50;1.312,50;2;Garrafa Vidro Âmbar;1;01/02/2005;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000650500;1-BRSA-320-RN;ÓLEO;1.332,00;1.336,00;2;Garrafa Vidro Âmbar;1;01/02/2005;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000652500;1-BRSA-326-RN;ÓLEO;1.094,00;1.096,50;2;Garrafa Vidro Âmbar;1;02/02/2005;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000661800;1-BRSA-452-RN;ÓLEO;202,00;206,00;2;Garrafa Vidro Âmbar;1;24/10/2006;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000661800;1-BRSA-452-RN;ÓLEO;213,00;217,00;2;Garrafa Vidro Âmbar;1;24/10/2006;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000694500;1-BRSA-489D-RN;CONDENSADO;3.949,00;3.971,00;2;Garrafa Vidro Âmbar;1;11/09/2009;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000707900;1-BRSA-511-RN;ÓLEO;2.023,50;2.026,00;2;Garrafa Vidro Âmbar;1;02/08/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000728700;1-BRSA-576-RN;ÓLEO;501,00;503,00;2;Garrafa Vidro Âmbar;1;16/04/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000749200;1-BRSA-673-RN;ÓLEO;1.735,00;1.750,00;2;Garrafa Vidro Âmbar;1;09/10/2009;CATU/BA;PETROBRAS
